epoch;accuracy;loss;val_accuracy;val_loss
1;0.1546463;3.9907257817921655;0.2198125272989273;3.1940393447875977
2;0.2417216;3.449475522251646;0.2686976194381714;2.8156256675720215
3;0.27484742;3.185330798044841;0.2931762635707855;2.6556131839752197
4;0.29769543;3.0256481100125865;0.3124430477619171;2.5886764526367188
5;0.31655475;2.9075459994605355;0.3284311890602112;2.513936996459961
6;0.33350626;2.8107575793672366;0.34200745820999146;2.4419994354248047
7;0.3487147;2.7276330075871402;0.3542587161064148;2.3880743980407715
8;0.36270854;2.6539125885167323;0.36547547578811646;2.3391342163085938
9;0.37566784;2.5871033761533;0.3757466673851013;2.289315700531006
10;0.38805237;2.5253073181750474;0.3855077028274536;2.2488136291503906
11;0.39995778;2.4674652454575305;0.39456531405448914;2.214388608932495
12;0.411173;2.412784044241524;0.40291035175323486;2.181067943572998
13;0.4223363;2.360791839125568;0.41072794795036316;2.147952079772949
14;0.43276417;2.3110771520576425;0.4181009829044342;2.108855962753296
15;0.44293568;2.263478150579181;0.4250076413154602;2.0741612911224365
16;0.45287222;2.2176434248846744;0.43134716153144836;2.0365042686462402
17;0.4627772;2.173316042729543;0.43744149804115295;2.0032758712768555
18;0.47215933;2.1305143964645215;0.4430084228515625;1.967732548713684
19;0.4813919;2.0889761033484717;0.44850820302963257;1.9410953521728516
20;0.49060518;2.048707534553701;0.4534896910190582;1.9110978841781616
21;0.4994217;2.0095939298326715;0.4582458436489105;1.8848652839660645
22;0.50802255;1.9715405111083006;0.4626353085041046;1.8562936782836914
23;0.5166458;1.9344125621391053;0.4668635129928589;1.8261141777038574
24;0.52510124;1.89822348664538;0.47090402245521545;1.795393466949463
25;0.5333369;1.8628717413063725;0.4744766354560852;1.764151930809021
26;0.5415029;1.8283427760692006;0.4779246151447296;1.7293871641159058
27;0.5494029;1.7945112790777036;0.4812362790107727;1.699610710144043
28;0.5573812;1.7614632701119395;0.4846298098564148;1.6744227409362793
29;0.56522524;1.729088360419206;0.4873819947242737;1.6460638046264648
30;0.57299805;1.6973274753557652;0.4896754026412964;1.6134555339813232
31;0.58051604;1.666187757612442;0.4922281801700592;1.5893410444259644
32;0.5878581;1.6356786953048574;0.49443408846855164;1.5604710578918457
33;0.5952952;1.605703963633283;0.4967178404331207;1.5391416549682617
34;0.6026652;1.5762331364127296;0.4989791810512543;1.5085701942443848
35;0.6099859;1.547325535919643;0.5010574460029602;1.47886061668396
36;0.61708987;1.518841379221925;0.50274658203125;1.4511704444885254
37;0.6241796;1.4908534521808552;0.5040873289108276;1.422040581703186
38;0.63117826;1.4632682466963922;0.5056798458099365;1.3947887420654297
39;0.6381754;1.4361561206334672;0.5067270994186401;1.365858554840088
40;0.64493054;1.4094845829607943;0.5078206658363342;1.3360637426376343
41;0.65183717;1.3831712110719612;0.5087677240371704;1.3131685256958008
42;0.6586019;1.357271293916715;0.5098469853401184;1.287104845046997
43;0.66515607;1.3316718326083943;0.5101572871208191;1.2598785161972046
44;0.67170256;1.3064433181256974;0.511181652545929;1.2352532148361206
45;0.6782725;1.2815957768857331;0.5118978023529053;1.2084673643112183
46;0.68476564;1.2569765741176036;0.5124461054801941;1.1841555833816528
